bridge_id,bridge_number,bridge_name,host_link_id,road_link_name,road_class,region,station,corrected_longitude,corrected_latitude,chainage_from_start_of_road_km,missing_attribute_count,missing_attributes,safe_attribute_defaults_applied,legacy_backfill_field_count,legacy_backfill_sources,location_audit_status
bridge-1,B548,Rwizi Bridge,A002_Link08,Mbarara(Bushenyi Junction)  - Ntungamo,A,Southern,Mbarara,30.645356,-0.618523,264,15,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width; Overall Condition Rating; Approaches Condition Rating; Roadway Condition Rating; Superstructure Condition Rating; Substructure Condition Rating; Waterway Condition Rating,,0,,Placed on exact national road host link
bridge-2,B001,Kibimba,A001_Link08,Nakalama - Bugiri - Namutere,A,Eastern,Jinja,33.51851,0.62873,117.86,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,3,comment: BMS_Data2015_UNRA_Capture111.mdb::tblI_Inspec row 134 latest 2023-05-10; km: Historical Bridges 18062025.xlsx::Bridges row 2; _mdb_2015_capture: BMS_Data2015_UNRA_Capture111.mdb,Placed on exact national road host link
bridge-3,B002,Malaba,A001_Link11,Tororo junction - Malaba(Uganda/Kenya border),A,Eastern,Tororo,34.17312,0.66002,201.009,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 4,Placed on exact national road host link
bridge-4,B003,Busega,A002_Link02,Busega - Mpigi,A,Central,Mpigi,32.511283,0.302108,7.24,10,Crossing Feature / River Name; Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,25,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 5; km: Historical Bridges 18062025.xlsx::Bridges row 4; no_of_pier: Historical Bridges 18062025.xlsx::Bridges row 4; no_of_exp_joints: Historical Bridges 18062025.xlsx::Bridges row 4; no_of_lane: Historical Bridges 18062025.xlsx::Bridges row 4; owner: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; district_council: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; flow: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; town_left: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; town_right: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; type_abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; type_abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; type_piers: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; type_para_rail: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; type_wearing_surface: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; approach_slab: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; type_bearings: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; superload_route: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; weight_load_restr: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; scour_protection: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; scour_risk: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; traffic_flow_directions: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 3,Placed on exact national road host link
bridge-5,B004,Katonga Bridge,A002_Link04,Buwama - Lukaya,A,Central,Mpigi,32.00763,-0.034141,79.45,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,17,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 6; km: Historical Bridges 18062025.xlsx::Bridges row 5; river: Historical Bridges 18062025.xlsx::Bridges row 5; no_of_exp_joints: Historical Bridges 18062025.xlsx::Bridges row 5; owner: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 4; district_council: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 4; flow: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 4; town_left: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 4; town_right: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 4; approach_slab: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 4; superload_route: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 4; weight_load_restr: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 4; scour_protection: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 4; scour_risk: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 4; traffic_flow_directions: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 4; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 4; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 4,Placed on exact national road host link
bridge-6,B005,Rwizi Bridge,A002_Link08,Mbarara(Bushenyi Junction)  - Ntungamo,A,Southern,Mbarara,30.645356,-0.618523,264,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 7; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 5; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 5; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 5,Placed on exact national road host link
bridge-7,B006,Kamira Bridge,A002_Link09,Ntungamo - Rubaale,A,Southern,Kabale,30.264758,-0.884379,325.596,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 8,Placed on exact national road host link
bridge-8,B007,Rubanga Bridge,A002_Link09,Ntungamo - Rubaale,A,Southern,Kabale,30.264751,-0.884414,325.6,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 9; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 7; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 7; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 7,Placed on exact national road host link
bridge-9,B008,Katinada Bridge,A002_Link09,Ntungamo - Rubaale,A,Southern,Kabale,30.20008,-0.98598,340.214,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 10; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 8; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 8; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 8,Placed on exact national road host link
bridge-10,B009,Rubaale - Muhanga - Kabale,A002_Link10,Rubaale - Muhanga - Kabale,A,Southern,Kabale,30.044739,-1.250167,391,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,5,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 11; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 9; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 9; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 9; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 9,Placed on exact national road host link
