bridge_id,bridge_no,original_bridge_no,bridge_name,original_link,corrected_link,original_region,corrected_region,original_station,corrected_station,original_lon,original_lat,source_lon,source_lat,corrected_lon,corrected_lat,correction_distance_km,correction_method,audit_status,evidence,safe_attribute_defaults_applied
bridge-1,B548,-,Rwizi Bridge,A002_Link08,A002_Link08,Southern,Southern,Mbarara,Mbarara,30.645356,-0.618523,30.644039,-0.61817,30.645356,-0.618523,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-2,B001,B001,Kibimba,A001_Link08,A001_Link08,Eastern,Eastern,Jinja,Jinja,33.51851,0.62873,33.89109,0.53546,33.51851,0.62873,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-3,B002,B002,Malaba,A001_Link11,A001_Link11,Eastern,Eastern,Tororo,Tororo,34.17312,0.66002,34.26833,0.63782,34.17312,0.66002,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-4,B003,B003,Busega,A002_Link02,A002_Link02,Central,Central,Mpigi,Mpigi,32.511283,0.302108,32.510059,0.301,32.511283,0.302108,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-5,B004,B004,Katonga Bridge,A002_Link04,A002_Link04,Central,Central,Mpigi,Mpigi,32.00763,-0.034141,32.509979,0.30104,32.00763,-0.034141,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-6,B005,B005,Rwizi Bridge,A002_Link08,A002_Link08,Southern,Southern,Mbarara,Mbarara,30.645356,-0.618523,30.644039,-0.61817,30.645356,-0.618523,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-7,B006,B006,Kamira Bridge,A002_Link09,A002_Link09,Southern,Southern,Kabale,Kabale,30.264758,-0.884379,30.223,-0.92715,30.264758,-0.884379,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-8,B007,B007,Rubanga Bridge,A002_Link09,A002_Link09,Southern,Southern,Kabale,Kabale,30.264751,-0.884414,30.20702,-0.95836,30.264751,-0.884414,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-9,B008,B008,Katinada Bridge,A002_Link09,A002_Link09,Southern,Southern,Kabale,Kabale,30.20008,-0.98598,30.18478,-1.03785,30.20008,-0.98598,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-10,B009,B009,Rubaale - Muhanga - Kabale,A002_Link10,A002_Link10,Southern,Southern,Kabale,Kabale,30.044739,-1.250167,30.028669,-1.26244,30.044739,-1.250167,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-11,B045,B00Z,Bumuli Overbridge 2,M3_Link01,M3_Link01,Central,Central,Kampala,Kampala,32.517581,0.175826,32.5173,0.176,32.517581,0.175826,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-12,B046,B00Z,Source of the Nile Bridge (New Nile Bridge),A001N1_Link01,A001N1_Link01,Central,Central,Kampala,Kampala,33.186628,0.439214,33.186661,0.43834,33.186628,0.439214,0,Snapped to exact host road link geometry,Placed on exact national road host link,Host link retained but source coordinate required geometric snapping,
bridge-13,B063,B010,Kee B7 Overbridge,M3_Link01,M3_Link01,Central,Central,Kampala,Kampala,32.521202,0.259571,32.5215,0.2596,32.521202,0.259571,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-14,B064,B010,Sisa Bridge Underpass,M3_Link01,M3_Link01,Central,Central,Kampala,Kampala,32.512424,0.159395,32.5124,0.1594,32.512424,0.159395,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-15,B010,B010,Mwanyare,A002_Link11,A002_Link11,Southern,Southern,Kabale,Kabale,30.011746,-1.424762,30.01174,-1.42476,30.011746,-1.424762,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-16,B065,B011,Kee B8 Overbridge,M3_Link01,M3_Link01,Central,Central,Kampala,Kampala,32.521838,0.252446,32.5224,0.2525,32.521838,0.252446,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-17,B066,B011,19+580 Over-Bridge,M3_Link01,M3_Link01,Central,Central,Kampala,Kampala,32.511006,0.148477,32.5107,0.1485,32.511006,0.148477,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-18,B011,B011,Bukoola,A004_Link02,A004_Link02,Central,Central,Masaka,Masaka,31.488546,-0.842608,31.4886,-0.84316,31.488546,-0.842608,0,Placed by bridge chainage along exact host road link geometry after latitude-sign-corrected-source-coordinate,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-19,B083,B012,Kee B9 Overbridge,M3_Link01,M3_Link01,Central,Central,Kampala,Kampala,32.523626,0.23241,32.5235,0.2324,32.523626,0.23241,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-20,B084,B012,Ziiru Overbridge,M3_Link01,M3_Link01,Central,Central,Kampala,Kampala,32.510718,0.145173,32.5104,0.1452,32.510718,0.145173,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-21,B012,B012,Buyala,A005_Link01,A005_Link01,Central,Central,Mpigi,Mpigi,32.418442,0.329366,32.41803,0.32933,32.418442,0.329366,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-22,B086,B013,Kajjansi Interchange Kee B10,M3_Link01,M3_Link01,Central,Central,Kampala,Kampala,32.531218,0.215266,32.5313,0.2153,32.531218,0.215266,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-23,B273,B013,Ziiru Overbridge 2,M3_Link01,M3_Link01,Central,Central,Kampala,Kampala,32.510405,0.135803,32.5104,0.1358,32.510405,0.135803,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-24,B013,B013,Mpanga,A005_Link10,A005_Link10,Western,Western,Fort Portal,Fort Portal,30.39366,0.643257,30.39365,0.64335,30.39366,0.643257,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-25,B132,B014,Kajjansi Interchange Kee B11,M3_Link01,M3_Link01,Central,Central,Kampala,Kampala,32.51892,0.31555,32.5313,0.2153,32.51892,0.31555,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-26,B133,B014,Nambigirwa Bridge 1,M3_Link01,M3_Link01,Central,Central,Kampala,Kampala,32.51892,0.31555,32.5114,0.1266,32.51892,0.31555,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-27,B014,B014,Mpanga,C542_Link01,C542_Link01,Western,Western,Fort Portal,Fort Portal,30.297238,0.65954,30.296738,0.660422,30.297238,0.65954,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-28,B375,B015,Kajjansi Overbridge 1 Kee B11,M3_Link01,M3_Link01,Central,Central,Kampala,Kampala,32.529725,0.208645,32.5295,0.2087,32.529725,0.208645,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-29,B633,B015,Nambigirwa Bridge 2,C575_Link01,M3_Link01,Western,Central,Fort Portal,Kampala,32.51145,0.126609,32.5114,0.1266,32.51145,0.126609,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-30,B015,B015,Mpanga,A005_Link10,A005_Link10,Western,Western,Fort Portal,Fort Portal,30.277909,0.657052,30.278099,0.6569,30.277909,0.657052,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
