link_id,road_no,road_link_name,road_class,surface_type,region,station,link_length_km,bridge_crossings_on_link,has_aadt_evidence,traffic_match_type,latest_aadt_year,latest_adt,current_aadt_2026,current_adt_excluding_motorcycles,annual_weighted_growth_rate,seasonal_factor,evidence_observation_count,proxy_evidence_count,duplicate_slot_factor,observed_years,annual_detail_years,traffic_basis,sources
M3N2_Link01,M3N2,Munyonyo Spur (dual),M,Bituminous,Central,Kampala,12.344,0,Yes,station-class-proxy,2025,41730.5,44973.11,28282.45,0.055,1,9,3,,2024; 2025,2026,"AADT proxy from Kampala M road links with classified traffic evidence; no exact link-level AADT was found, so this is retained as proxy evidence until measured counts are available",TIS 2025_AADT analysis.xlsx; Traffic_estimate_2025.xlsx; Bridge integrity traffic proxy; Generated road-link traffic integrity fill
A005_Link01,A005,Busega - Bujuuko,A,Bituminous,Central,Mpigi,32.23,1,Yes,exact-link-raw-tis-reconciled,2024,7627.14,8329.03,5248.12,0.045,1,7,,1,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
C261_Link01,C261,Matte - Sekanyonyi,C,Unsealed,Central,Mpigi,16.595,0,Yes,exact-link,2025,2108.66,2235.18,408.85,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C151_Link01,C151,Busabala-Kazi,C,Unsealed,Central,Kampala,0.56,0,Yes,exact-link,2025,3256.23,3451.61,1883.77,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C210_Link01,C210,Nyendo - Masaka,C,Bituminous,Central,Masaka,5.398,0,Yes,exact-link,2025,1958.84,2076.37,790.68,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C306_Link01,C306,Luwero-Kiwoko-Butalangu,C,Unsealed,Central,Luwero,28.761,1,Yes,exact-link,2025,2534.22,2686.27,1566.15,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C227_Link01,C227,Lyantonde - Kaliro - Nabitanga - Ntusi,C,Unsealed,Central,Masaka,44.311,0,Yes,exact-link-raw-tis-reconciled,2024,1336.14,1423.02,529.62,0.032,1,7,,1,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
B101_Link02,B101,Kalagi - Bukoloto - Kayunga,B,Bituminous,Central,Kampala,31.673,0,Yes,exact-link,2025,22878.89,24251.63,10800.42,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C332_Link01,C332,Kasiso-Mazzi-Kalungi,C,Unsealed,Central,Luwero,57.024,0,Yes,exact-link,2025,1072.66,1137.02,594.7,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C193_Link01,C193,Wakiso-Kassengejja- Matugga,C,Unsealed,Central,Kampala,9.914,0,Yes,exact-link,2025,1828.14,1937.83,868.39,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
